place,other,relation,source
ir-hamedan-univercity-of-technology,ir-ghaem-square,adjacent,osm
ir-w522691662,ir-w624379045,adjacent,osm
ir-w522691662,ir-ostandari-2,adjacent,osm
ir-w522691662,ir-w624403416,adjacent,osm
ir-w522691662,ir-ghaem-square,adjacent,osm
ir-buali-sina-university,ir-w624646391,adjacent,osm
ir-buali-sina-university,ir-mahdiyeh,adjacent,osm
ir-buali-sina-university,ir-javadiyeh,adjacent,osm
ir-buali-sina-university,ir-w624645059,adjacent,osm
ir-buali-sina-university,ir-w624643621,adjacent,osm
ir-buali-sina-university,ir-zamani,adjacent,osm
ir-buali-sina-university,ir-r8670095,adjacent,osm
ir-buali-sina-university,ir-borough-shahid-modares,adjacent,osm
ir-buali-sina-university,ir-modares-town,adjacent,osm
ir-buali-sina-university,ir-w624728328,adjacent,osm
ir-buali-sina-university,ir-pasdaran-square-shah-hoseyni-blv,adjacent,osm
ir-buali-sina-university,ir-heydareh-road,adjacent,osm
ir-buali-sina-university,ir-w625147273,adjacent,osm
ir-bu-ali-sina-university,ir-w624646391,adjacent,osm
ir-bu-ali-sina-university,ir-mahdiyeh,adjacent,osm
ir-bu-ali-sina-university,ir-javadiyeh,adjacent,osm
ir-bu-ali-sina-university,ir-w624645059,adjacent,osm
ir-bu-ali-sina-university,ir-w624643621,adjacent,osm
ir-bu-ali-sina-university,ir-zamani,adjacent,osm
ir-bu-ali-sina-university,ir-r8670095,adjacent,osm
ir-bu-ali-sina-university,ir-borough-shahid-modares,adjacent,osm
ir-bu-ali-sina-university,ir-modares-town,adjacent,osm
ir-bu-ali-sina-university,ir-w624728328,adjacent,osm
ir-bu-ali-sina-university,ir-pasdaran-square-shah-hoseyni-blv,adjacent,osm
ir-bu-ali-sina-university,ir-heydareh-road,adjacent,osm
ir-bu-ali-sina-university,ir-w625147273,adjacent,osm
ir-ardestan-2,ir-ardestan,adjacent,osm
ir-r8040905,ir-r8040883,adjacent,osm
ir-shahr-e-kiyan,ir-r6557030,adjacent,osm
ir-abbas-abad-5,ir-ganjnameh,adjacent,osm
ir-abbas-abad-5,ir-w624354128,adjacent,osm
ir-abbas-abad-5,ir-w624403416,adjacent,osm
ir-abbas-abad-5,ir-ghaem-square,adjacent,osm
ir-abbas-abad-5,ir-w624362030,adjacent,osm
ir-abbas-abad-5,ir-bagh-mouze,adjacent,osm
ir-abbas-abad-5,ir-w625151102,adjacent,osm
ir-abbas-abad-5,ir-kolab,adjacent,osm
ir-w571020864,ir-ganjnameh,adjacent,osm
ir-w571020864,ir-w624354128,adjacent,osm
ir-w571020864,ir-w624403416,adjacent,osm
ir-w571020864,ir-ghaem-square,adjacent,osm
ir-w571020864,ir-w624362030,adjacent,osm
ir-w571020864,ir-bagh-mouze,adjacent,osm
ir-w571020864,ir-w625151102,adjacent,osm
ir-w571020864,ir-kolab,adjacent,osm
ir-r16012896,ir-punak,adjacent,osm
ir-noor-town,ir-fajr,adjacent,osm
ir-noor-town,ir-w623097513,adjacent,osm
ir-fajr,ir-laleh-3,adjacent,osm
ir-fajr,ir-laleh-2,adjacent,osm
ir-fajr,ir-w623097513,adjacent,osm
ir-qarabagilar,ir-mansour,adjacent,osm
ir-qarabagilar,ir-w623084626,adjacent,osm
ir-w623072840,ir-mansour,adjacent,osm
ir-w623072840,ir-w623084626,adjacent,osm
ir-laleh-2,ir-safire-omid-town,adjacent,osm
ir-laleh-2,ir-dizel-abad,adjacent,osm
ir-laleh-2,ir-safire-omid-town-2,adjacent,osm
ir-laleh-2,ir-w624157346,adjacent,osm
ir-laleh-2,ir-jalaliyeh-2,adjacent,osm
ir-laleh-2,ir-w623097513,adjacent,osm
ir-laleh-3,ir-safire-omid-town,adjacent,osm
ir-laleh-3,ir-dizel-abad,adjacent,osm
ir-laleh-3,ir-safire-omid-town-2,adjacent,osm
ir-laleh-3,ir-w624157346,adjacent,osm
ir-laleh-3,ir-jalaliyeh-2,adjacent,osm
ir-laleh-3,ir-w623097513,adjacent,osm
ir-mansour,ir-w623995653,adjacent,osm
ir-mansour,ir-mansoursquare,adjacent,osm
ir-w623084626,ir-w623995653,adjacent,osm
ir-w623084626,ir-mansoursquare,adjacent,osm
ir-jalaliyeh-2,ir-resalat-6,adjacent,osm
ir-bahadori,ir-w623099007,adjacent,osm
ir-bahadori,ir-daneshsara,adjacent,osm
ir-w623090339,ir-w623099007,adjacent,osm
ir-w623090339,ir-daneshsara,adjacent,osm
ir-w623097513,ir-khatib,adjacent,osm
ir-daneshsara,ir-bazzar,adjacent,osm
ir-w623099007,ir-bazzar,adjacent,osm
ir-resalat-6,ir-khatib,adjacent,osm
ir-babak,ir-khatib,adjacent,osm
ir-babak,ir-shanb-e-ghazan,adjacent,osm
ir-babak-2,ir-khatib,adjacent,osm
ir-babak-2,ir-shanb-e-ghazan,adjacent,osm
ir-w623330808,ir-nesferah,adjacent,osm
ir-w623330808,ir-ashkan,adjacent,osm
ir-w623330808,ir-shanb-e-ghazan,adjacent,osm
ir-w623330808,ir-varzash-3,adjacent,osm
ir-w623330808,ir-varzash-2,adjacent,osm
ir-nesferah,ir-firooz-alley,adjacent,osm
ir-nesferah,ir-w624063524,adjacent,osm
ir-nesferah,ir-kuchebagh,adjacent,osm
ir-nesferah,ir-ashkan,adjacent,osm
ir-nesferah,ir-varzash-3,adjacent,osm
ir-nesferah,ir-varzash-2,adjacent,osm
ir-mansoursquare,ir-w624756055,adjacent,osm
ir-mansoursquare,ir-sadr,adjacent,osm
ir-w623995653,ir-w624756055,adjacent,osm
ir-w623995653,ir-sadr,adjacent,osm
ir-basij-town,ir-janbazan-town,adjacent,osm
ir-varzash-2,ir-ashkan,adjacent,osm
ir-varzash-2,ir-shanb-e-ghazan,adjacent,osm
ir-varzash-3,ir-ashkan,adjacent,osm
ir-varzash-3,ir-shanb-e-ghazan,adjacent,osm
ir-sheshgilan,ir-w624027996,adjacent,osm
ir-sheshgilan,ir-w624308691,adjacent,osm
ir-sheshgilan,ir-ismailbaqqal,adjacent,osm
ir-sheshgilan,ir-w624430286,adjacent,osm
ir-sheshgilan,ir-w624433211,adjacent,osm
ir-sheshgilan,ir-asmaei,adjacent,osm
ir-w624027996,ir-w624308691,adjacent,osm
ir-w624027996,ir-ismailbaqqal,adjacent,osm
ir-w624027996,ir-w624430286,adjacent,osm
ir-w624027996,ir-w624433211,adjacent,osm
ir-w624027996,ir-asmaei,adjacent,osm
ir-nezampezashki,ir-nokazzeh,adjacent,osm
ir-w624031818,ir-nokazzeh,adjacent,osm
ir-maralan,ir-w1475502071,adjacent,osm
ir-maralan,ir-w624164568,adjacent,osm
ir-maralan,ir-w624809917,adjacent,osm
ir-maralan,ir-r20192592,adjacent,osm
ir-w624031912,ir-w1475502071,adjacent,osm
ir-w624031912,ir-w624164568,adjacent,osm
ir-w624031912,ir-w624809917,adjacent,osm
ir-w624031912,ir-r20192592,adjacent,osm
ir-kuchebagh,ir-qaraaqaj,adjacent,osm
ir-kuchebagh,ir-w624041903,adjacent,osm
ir-qaraaqaj,ir-w624056643,adjacent,osm
ir-w624041903,ir-w624056643,adjacent,osm
ir-monajem,ir-w624059479,adjacent,osm
ir-monajem,ir-bazzar,adjacent,osm
ir-monajem,ir-w624056643,adjacent,osm
ir-monajem,ir-w624057067,adjacent,osm
ir-monajjem,ir-w624059479,adjacent,osm
ir-monajjem,ir-bazzar,adjacent,osm
ir-monajjem,ir-w624056643,adjacent,osm
ir-monajjem,ir-w624057067,adjacent,osm
ir-kalaka-jar,ir-shahrak-keshavarz,adjacent,osm
ir-kalaka-jar,ir-ghopal,adjacent,osm
ir-kalaka-jar,ir-shahrak-noor,adjacent,osm
ir-kalaka-jar,ir-khaneghah-khosro-abad,adjacent,osm
ir-w624056643,ir-w624057067,adjacent,osm
ir-w624059479,ir-bazzar,adjacent,osm
ir-w624060585,ir-bazzar,adjacent,osm
ir-firooz-alley,ir-w624073801,adjacent,osm
ir-firooz-alley,ir-w624066343,adjacent,osm
ir-w624063524,ir-w624073801,adjacent,osm
ir-w624063524,ir-w624066343,adjacent,osm
ir-w624066343,ir-baron-avak,adjacent,osm
ir-zafaraniyeh,ir-w624356271,adjacent,osm
ir-w624066609,ir-w624356271,adjacent,osm
ir-w624157346,ir-manzariyeh,adjacent,osm
ir-w624163559,ir-w624164568,adjacent,osm
ir-w624163559,ir-sa-eb-tabeizi,adjacent,osm
ir-w624164568,ir-w624809917,adjacent,osm
ir-w624164568,ir-r20192592,adjacent,osm
ir-agha-zaman,ir-r20193911,adjacent,osm
ir-agha-zaman,ir-ghatar-chian,adjacent,osm
ir-agha-zaman,ir-chahar-bagh,adjacent,osm
ir-agha-zaman,ir-sar-tapoola,adjacent,osm
ir-w624166327,ir-w682047549,adjacent,osm
ir-emamiyeh,ir-w1475309196,adjacent,osm
ir-emamiyeh,ir-r20190565,adjacent,osm
ir-borough-shahid-modares,ir-w624643621,adjacent,osm
ir-borough-shahid-modares,ir-zamani,adjacent,osm
ir-borough-shahid-modares,ir-w624728328,adjacent,osm
ir-borough-shahid-modares,ir-pasdaran-square-shah-hoseyni-blv,adjacent,osm
ir-borough-shahid-modares,ir-heydareh-road,adjacent,osm
ir-borough-shahid-modares,ir-w625147273,adjacent,osm
ir-borough-shahid-modares,ir-sheshsad-dastgah,adjacent,osm
ir-borough-shahid-modares,ir-w624312824,adjacent,osm
ir-borough-shahid-modares,ir-w624309914,adjacent,osm
ir-borough-shahid-modares,ir-charmsazi-manouchehri,adjacent,osm
ir-r8670095,ir-w624643621,adjacent,osm
ir-r8670095,ir-zamani,adjacent,osm
ir-r8670095,ir-w624728328,adjacent,osm
ir-r8670095,ir-pasdaran-square-shah-hoseyni-blv,adjacent,osm
ir-r8670095,ir-heydareh-road,adjacent,osm
ir-r8670095,ir-w625147273,adjacent,osm
ir-r8670095,ir-sheshsad-dastgah,adjacent,osm
ir-r8670095,ir-w624312824,adjacent,osm
ir-r8670095,ir-w624309914,adjacent,osm
ir-r8670095,ir-charmsazi-manouchehri,adjacent,osm
ir-modares-town,ir-w624643621,adjacent,osm
