code,name,name_en,kind,parent,in_path,latitude,longitude,source
ir-now-qand,نوقند,Now Qand,village,ir-r6558048,True,33.262404,59.69928,osm:n2054630724
ir-masenan,ماسنان,Masenan,village,ir-r6558048,True,33.268905,59.707842,osm:n2054630752
ir-anik,انیک,Anik,village,ir-r6558048,True,33.305147,59.702988,osm:n2054631168
ir-fakhraan,شهرك فخران,Fakhraan,village,ir-r6557485,True,33.35902,59.705697,osm:n2054631760
ir-n2054632959,حسن آباد علیا,,village,ir-r6557485,True,33.377908,59.70198,osm:n2054632959
ir-n2054634827,شیرخند,,village,ir-r6556525,True,33.411388,59.671281,osm:n2054634827
ir-kabudan,کبودان,Kabudan,village,ir-r6556525,True,33.418637,59.703531,osm:n2054635061
ir-n2054635195,همايون,,village,ir-r6556525,True,33.422712,59.714146,osm:n2054635195
ir-n2054636944,برج محمد,,village,ir-r6557955,True,33.593856,59.474424,osm:n2054636944
ir-shah-rakht,شاهرخت,Shah Rakht,village,ir-r6558713,True,33.637113,60.273007,osm:n2056844222
ir-n2060014044,آهنگران,,village,ir-r6557502,True,33.458548,60.250003,osm:n2060014044
ir-n2060014105,محمد آباد,,village,ir-r6557502,True,33.471874,60.12611,osm:n2060014105
ir-n2060014199,حسن آباد,,village,ir-r6557502,True,33.489934,60.103577,osm:n2060014199
ir-n2060014284,تاجکوه,,village,ir-r6557502,True,33.512876,60.053724,osm:n2060014284
ir-n2060014297,بقرایی,,village,ir-r6557502,True,33.516289,60.067419,osm:n2060014297
ir-n2060014317,حسین آباد,,village,ir-r6557502,True,33.517256,60.060965,osm:n2060014317
ir-n2060294979,فرخی,,village,ir-r6557955,True,33.829986,59.530384,osm:n2060294979
ir-n2060296056,مهدی آباد,,village,ir-r6557955,True,33.927832,59.588741,osm:n2060296056
ir-doroh,درح,Doroh,city,ir-r6557186,True,32.28879,60.490139,osm:n2082525179
ir-karizak-e-nagahani,کاریزک ناگهانی,Karizak-e Nagahani,village,ir-r6557443,True,35.306944,59.393056,osm:n2082583477
ir-aghbolagh,آق بلاغ,Aghbolagh,village,ir-r6556621,True,37.360663,45.043452,osm:n2119251208
ir-hesar-e-agh-bolagh,حصار آق بلاغ,Hesar-e Agh Bolagh,village,ir-r6556621,True,37.359564,45.058973,osm:n2119251404
ir-vaneh,وانه,Vaneh,village,ir-r6556659,True,35.923336,52.269019,osm:n2130271870
ir-kulseh-ye-sofla,کوله سه سفلی,Kulseh-ye Sofla,village,ir-r6556634,True,36.098249,45.580944,osm:n2133450076
ir-kulseh-ye-olya,کوله سه علیا,Kulseh-ye Olya,village,ir-r6556634,True,36.095926,45.551593,osm:n2133450170
ir-brisu,بریسو,Brisu,village,ir-r6556634,True,36.151129,45.542195,osm:n2134246703
ir-varchak,ورچک,Varchak,village,ir-r6556634,True,36.0726,45.5488,osm:n2134274091
ir-qemcyan,قمشیان,Qemçyan,village,ir-r6557574,True,35.736569,46.432213,osm:n2134288706
ir-niak,نیاک,Niak,village,ir-r6556659,True,35.871468,52.190213,osm:n2138554627
ir-garna,گرنا,Garna,village,ir-r6556659,True,35.895655,52.183383,osm:n2138564441
ir-ab-e-ask,آب اسک,Ab e Ask,village,ir-r6556659,True,35.869956,52.155119,osm:n2138564794
ir-sangan-e-bala-khvaf,سنگان بالا خواف,Sangan-e Bala Khvaf,village,ir-r6556394,True,35.115278,59.436667,osm:n2138769538
ir-malekabad-4,ملک آباد,Malekabad,village,ir-r6556394,True,35.140278,59.392778,osm:n2138769539
ir-kachuyeh,کچویه,Kachuyeh,village,ir-r6556938,True,29.138913,53.608208,osm:n2141230060
ir-shahrestan-2,شهرستان,Shahrestan,village,ir-r6558199,True,29.09967,53.631186,osm:n2141230061
ir-kooy-e-towhid,کوی توحید,Kooy-e Towhid,neighbourhood,ir-r6557737,True,32.287123,48.428207,osm:n2154614101
ir-n2163996722,ایور,,village,ir-r6556701,True,35.479214,58.582188,osm:n2163996722
ir-ferdowsieh-2,فردوسیه,Ferdowsieh,village,ir-r6557854,True,28.930769,58.763354,osm:n2177249603
ir-chakhmaq,چخماق,Chakhmaq,city,ir-r6557614,True,35.271667,59.831944,osm:n2180077224
ir-nasirabad-2,نصیرآباد,Nasirabad,village,ir-r6557515,True,35.135278,59.874444,osm:n2180077230
ir-qaleh-ye-aqa-hasan,قلعه آقاحسن,Qaleh-ye Aqa Hasan,village,ir-r6557515,True,35.142222,59.898889,osm:n2180077237
ir-qaleh-now-ye-safiabad,قلعه نو صفی آباد,Qaleh Now-ye Safiabad,village,ir-r6557614,True,35.274977,59.745059,osm:n2180077243
ir-safiabad-3,صفی آباد,Safiabad,village,ir-r6557803,True,35.291468,59.643607,osm:n2180077251
ir-sagh,ساق,Sagh,village,ir-r6557515,True,35.099587,59.898527,osm:n2180077253
ir-shahnabad,شهن آباد,Shahnabad,village,ir-r6557443,True,35.304893,59.430975,osm:n2180077261
ir-n2216192905,برقلعه,,village,ir-r6557578,True,35.487871,46.179632,osm:n2216192905
ir-dehali,دهعلی,Dehali,village,ir-r6557102,True,31.442985,56.013723,osm:n2218310776
ir-kerrawa,کرآباد,Kerrawa,village,ir-roseab-village,True,35.261675,46.42351,osm:n2246459140
ir-shuyesheh,شویشه,Shuyesheh,city,ir-klatterzan-village,True,35.357089,46.676496,osm:n2246459252
ir-biakara,حسین آباد,Biakara,village,ir-r6557205,True,35.40734,46.270333,osm:n2246459434
ir-pallengan,پالنگان,Pallengan,village,ir-r6558863,True,35.06759,46.604193,osm:n2246558079
ir-n2246922026,سلین,,village,ir-r6557698,True,35.225576,46.32275,osm:n2246922026
ir-n2246922029,ورگه ویر,,village,ir-r6557698,True,35.208915,46.349274,osm:n2246922029
ir-n2246922043,ژیوار,,village,ir-r6557698,True,35.240884,46.323192,osm:n2246922043
ir-n2246922114,اسپریز,,village,ir-r6557698,True,35.149489,46.403696,osm:n2246922114
ir-tazehabad-e-tefli,تازه آباد تفلی,Tazehabad-e Tefli,village,ir-r6558226,True,35.343604,46.307394,osm:n2246925251
ir-buridar,بوری در,Buridar,village,ir-paiglan-village,True,35.20005,46.51278,osm:n2246925334
ir-n2246925370,سرو آباد بالا,,village,ir-roseab-village,True,35.318953,46.377834,osm:n2246925370
ir-tarkhan-abad,ترخان آباد,Tarkhan Abad,village,ir-roseab-village,True,35.305825,46.384824,osm:n2246925371
ir-n2246993638,مرگ,,village,ir-r6557578,True,35.419492,46.279388,osm:n2246993638
ir-n2246993703,خشکین,,village,ir-r6557205,True,35.404821,46.251606,osm:n2246993703
ir-n2246993718,شیخه کوره,,village,ir-r6557578,True,35.436696,46.3151,osm:n2246993718
ir-n2246993751,چاوک,,village,ir-r6557578,True,35.558902,46.177007,osm:n2246993751
ir-n2246993752,دره‌تفی,,village,ir-r6557470,True,35.536778,46.097511,osm:n2246993752
ir-n2246993773,کانی سانان,,village,ir-r6557470,True,35.511988,46.109079,osm:n2246993773
ir-n2246993938,سپیدار,,village,ir-r6558226,True,35.348551,46.347782,osm:n2246993938
ir-n2246993942,انجمنه,,village,ir-r6558226,True,35.366283,46.352568,osm:n2246993942
ir-n2246994098,چور,,village,ir-r6557578,True,35.42168,46.308766,osm:n2246994098
ir-n2246994508,هلوژان,,village,ir-r6558226,True,35.389568,46.296345,osm:n2246994508
ir-n2246994578,تخان,,village,ir-r6558226,True,35.347931,46.332542,osm:n2246994578
ir-qaleh-gah,قلعه گاه,Qaleh Gah,village,ir-r6558226,True,35.360323,46.292765,osm:n2246994586
ir-qaleh-ji,قلعه جی,Qaleh Ji,village,ir-r6558226,True,35.359958,46.282838,osm:n2246994588
ir-gelaneh,گلانه,Gelaneh,village,ir-r6558226,True,35.377732,46.298746,osm:n2246994590
ir-n2246994622,ننه,,village,ir-r6557578,True,35.419804,46.302316,osm:n2246994622
ir-almaneh,آلمانه,Almaneh,village,ir-r6558226,True,35.38532,46.315574,osm:n2246994655
ir-n2247002668,ساوجی,,village,ir-r16533810,True,35.669737,46.084608,osm:n2247002668
ir-n2247002673,بیله,,village,ir-r6557578,True,35.503497,46.186288,osm:n2247002673
ir-n2247002698,سرکل,,village,ir-r6557578,True,35.464051,46.261488,osm:n2247002698
ir-n2247002701,شارانی,,village,ir-r6557578,True,35.441195,46.265294,osm:n2247002701
ir-n2247002713,درگاشیخان,,village,ir-r6557578,True,35.410481,46.193687,osm:n2247002713
ir-n2247002732,سرنژمار,,village,ir-r6557578,True,35.418412,46.208674,osm:n2247002732
ir-n2247002789,بالک,,village,ir-r6557578,True,35.471375,46.234032,osm:n2247002789
ir-n2247002802,درزیان,,village,ir-r6557578,True,35.447913,46.211561,osm:n2247002802
ir-n2247002808,کال علیا,,village,ir-r6557470,True,35.432689,46.163339,osm:n2247002808
ir-n2247002821,کال سفلی,,village,ir-r6557470,True,35.444035,46.173589,osm:n2247002821
ir-n2247002830,خیرآباد,,village,ir-r6557578,True,35.458854,46.284941,osm:n2247002830
ir-n2247002837,ریخلان,,village,ir-r6557578,True,35.464512,46.180405,osm:n2247002837
ir-n2247002851,کلکه جان,,village,ir-r6557470,True,35.471696,46.146273,osm:n2247002851
ir-n2247002862,توتوندر,,village,ir-r6557578,True,35.417515,46.170969,osm:n2247002862
ir-n2247002874,نژمار,,village,ir-r6557578,True,35.432178,46.226199,osm:n2247002874
ir-n2247003057,سیاناو,,village,ir-r6557470,True,35.45256,46.080053,osm:n2247003057
ir-n2247003275,احمدآباد,,village,ir-r6557470,True,35.440163,46.101762,osm:n2247003275
ir-n2247003345,گویزه کویره,,village,ir-r6557578,True,35.50536,46.256815,osm:n2247003345
ir-n2247003536,ویسه,,village,ir-r6557470,True,35.428622,46.136141,osm:n2247003536
ir-n2247004029,اسکول,,village,ir-r6557470,True,35.467493,46.062538,osm:n2247004029
ir-dizlli,دزلی,Dizlli,village,ir-r6557205,True,35.373771,46.147214,osm:n2247018423
ir-n2247018426,زلکه,,village,ir-r6557205,True,35.402071,46.217797,osm:n2247018426
ir-n2247018439,دره‌ ناخی,,village,ir-r6557205,True,35.392533,46.234547,osm:n2247018439
ir-n2247018456,ذکریان,,village,ir-r6557205,True,35.389997,46.253426,osm:n2247018456
ir-bahramabad-2,بهرام آباد,Bahramabad,village,ir-r6558226,True,35.358654,46.25657,osm:n2247018467
ir-n2247018491,گرگه ای,,village,ir-roseab-village,True,35.321201,46.346224,osm:n2247018491
ir-n2247018493,هزارخانی,,village,ir-r6558226,True,35.354621,46.366481,osm:n2247018493
ir-n2247018496,احمد آباد تفلی,,village,ir-roseab-village,True,35.323606,46.338797,osm:n2247018496
ir-demeyo,دمیو,Demeyo,village,ir-r6557205,True,35.335583,46.193299,osm:n2247018521
ir-bandul,بندول,Bandul,village,ir-r6557205,True,35.320245,46.260573,osm:n2247018523
ir-daraki,درکی,Daraki,village,ir-r6558226,True,35.319204,46.198169,osm:n2247018526
ir-tefli,تفلی,Tefli,village,ir-r6558226,True,35.332395,46.30999,osm:n2247018528
ir-dorud-2,دورود,Dorud,village,ir-roseab-village,True,35.301622,46.352946,osm:n2247018596
ir-n2247018600,محمودآباد,,village,ir-roseab-village,True,35.295863,46.368621,osm:n2247018600
ir-paygelan,پایگلان,Paygelan,village,ir-paiglan-village,True,35.13866,46.602571,osm:n2247098969
ir-zhenin,ژنین,Zhenin,village,ir-paiglan-village,True,35.138748,46.580916,osm:n2247098988
ir-seromal,سرومال,Seromal,village,ir-zizhieh-village,True,35.165564,46.506963,osm:n2247099311
ir-kaklikabad,ککلیک آباد,Kaklikabad,village,ir-zizhieh-village,True,35.163743,46.496534,osm:n2247099315
ir-nasanar,نسنار,Nasanar,village,ir-r6556807,True,35.174231,46.566899,osm:n2247099320
ir-tefin,تفین,Tefin,village,ir-zizhieh-village,True,35.085059,46.603079,osm:n2247099327
ir-jan,ژان,Jan,village,ir-r6556807,True,35.174259,46.616195,osm:n2247099333
ir-n2247099370,دگاگا,,village,ir-roseab-village,True,35.226906,46.447384,osm:n2247099370
ir-n2247099380,مازیبن,,village,ir-roseab-village,True,35.220454,46.465024,osm:n2247099380
ir-n2247099536,خانگا,,village,ir-roseab-village,True,35.269522,46.397489,osm:n2247099536
ir-bolbar,بلبر,Bolbar,village,ir-r6557698,True,35.2404,46.2959,osm:n2247099544
ir-cheshmidar,چشمیدر,Cheshmidar,village,ir-paiglan-village,True,35.166191,46.537079,osm:n2247099800
ir-aryan,آریان,Aryan,village,ir-paiglan-village,True,35.145089,46.562508,osm:n2247099818
ir-kani-hoseynbag,کانی حسین بگ,Kani Hoseynbag,village,ir-zizhieh-village,True,35.124577,46.530532,osm:n2247099826
