place,name,kind,source
ir-r8886560,شهر خورسند,spelling,osm
ir-ahmadabad-e-mostowfi-city,شهر احمدآباد مستوفی,spelling,osm
ir-r9080270,شهر درگهان,spelling,osm
ir-asadabad,شهر اسدآباد,spelling,osm
ir-qaen,شهر قائن,spelling,osm
ir-khorramdarreh,شهر خرمدره,spelling,osm
ir-banak-city,شهر بنک,spelling,osm
ir-khormuj-city,شهر خورموج,spelling,osm
ir-r17351911,شهر دورود,spelling,osm
ir-qasr-e-shirin-city,شهر قصر شیرین,spelling,osm
ir-r11285213,شهر کنگاور,spelling,osm
ir-rostamabad,شهر رستم آباد,spelling,osm
ir-1,منطقه 1 شهرداری اردبیل,spelling,osm
ir-r13084236,شهر مهاجران,spelling,osm
ir-r12241866,شهر اسلام آباد غرب,spelling,osm
ir-5,منطقه 5 شهرداری اردبیل,spelling,osm
ir-mohammad-shahr,شهر محمد شهر,spelling,osm
ir-zarqan,شهر زرقان,spelling,osm
ir-baghein,شهر باغین,spelling,osm
ir-borujen-city,شهر بروجن,spelling,osm
ir-joupar,شهر جوپار,spelling,osm
ir-r15100601,شهر مجلسی,spelling,osm
ir-gonabad,شهر گناباد,spelling,osm
ir-shahin-dezh,شهر شاهین دژ,spelling,osm
ir-district-1-4,منطقه ۱ شهرداری ساری,spelling,osm
ir-district-11-2,منطقه ۱۱ شهر تهران,spelling,osm
ir-r17353421,شهر ایذه,spelling,osm
ir-naqadeh,شهر نقده,spelling,osm
ir-parsian-city,شهر پارسیان,spelling,osm
ir-langarud,شهر لنگرود,spelling,osm
ir-r16464038,شهر پارس آباد,spelling,osm
ir-district-2-5,منطقه ۲ شهرداری ساری,spelling,osm
ir-ardestan,شهر اردستان,spelling,osm
ir-osku,شهر اسکو,spelling,osm
ir-jam-city,شهر جم,spelling,osm
ir-district-8-2,منطقه ۸ شهر تهران,spelling,osm
ir-shabankareh-city,شهر شبانکاره,spelling,osm
ir-chatroud,شهر چترود,spelling,osm
ir-r8768515,شهر آق قلا,spelling,osm
ir-nahavand,شهر نهاوند,spelling,osm
ir-ferdows-3,شهر فردوس,spelling,osm
ir-qorveh,شهر قروه,spelling,osm
ir-r15436558,شهر تاکستان,spelling,osm
ir-tabas,شهر‌ طبس,spelling,osm
ir-shandiz-city,شهر شاندیز,spelling,osm
ir-r10460873,شهر جاجرم,spelling,osm
ir-kamalshahr,شهر کمالشهر,spelling,osm
ir-shirvan,شهر شیروان,spelling,osm
ir-lahijan,شهر لاهیجان,spelling,osm
ir-firuzabad-2,شهر فیروزآباد,spelling,osm
ir-aligudarz,شهر الیگودرز,spelling,osm
ir-milajerd-city,شهر میلاجرد,spelling,osm
ir-district-7-3,منطقه ۷ شهر تهران,spelling,osm
ir-lavasan,شهر لواسان,spelling,osm
ir-kazemabad,شهر کاظم آباد,spelling,osm
ir-district-12,منطقه ۱۲ شهر تهران,spelling,osm
ir-alvand,شهر الوند,spelling,osm
ir-district-16,منطقه ۱۶ شهر تهران,spelling,osm
ir-gerash,شهر گراش,spelling,osm
ir-nurabad,شهر نورآباد,spelling,osm
ir-qeshm,شهر قشم,spelling,osm
ir-esfarayen,شهر اسفراین,spelling,osm
ir-golpayegan,شهر گلپایگان,spelling,osm
ir-saravan,شهر سراوان,spelling,osm
ir-baft,شهر بافت,spelling,osm
ir-r9387492,شهر مرودشت,spelling,osm
ir-roudan,شهر رودان,spelling,osm
ir-pishva,شهر پیشوا,spelling,osm
ir-behshahr,شهر بهشهر,spelling,osm
ir-r13016310,شهر بانه,spelling,osm
ir-zangi-abad-2,شهر زنگی آباد,spelling,osm
ir-khash,شهر خاش,spelling,osm
ir-torbat-e-jam-town,شهر تربت جام,spelling,osm
ir-torbat-e-jam,شهر تربت جام,spelling,osm
ir-bander-kangan-city,شهر بندر کنگان,spelling,osm
ir-r11226553,شهر سقز,spelling,osm
ir-quchan,شهر قوچان,spelling,osm
ir-r16463801,شهر ایرانشهر,spelling,osm
ir-district-13,منطقه ۱۳ شهر تهران,spelling,osm
ir-abhar-city,شهر ابهر,spelling,osm
ir-darab,شهر داراب,spelling,osm
ir-district-2-6,منطقه ۲ شهرداری فردیس,spelling,osm
ir-shushtar,شهر شوشتر,spelling,osm
