place,name,kind,source
ir-w162653778,بزرگراه شاهین دژ - میاندوآب,colloquial,osm
ir-etehad-square,میدان اتحاد,colloquial,osm
ir-emam-hossein-square-5,میدان صلاح الدین ایوبی,colloquial,osm
ir-dabestan-kaboli-ave,دبستان,old,osm
ir-w164595008,بزرگراه داریوش,old,osm
ir-w164595009,بزرگراه داریوش,old,osm
ir-hesam-zadeh-hejazi-street,شیرین,old,osm
ir-w164595228,امیر اتابک,old,osm
ir-w164814815,بلوار حیدری,spelling,osm
ir-azadi-boulevard-9,خیابان اصلی رجائی شهر,colloquial,osm
ir-w164913856,سی و پنج متری,colloquial,osm
ir-w164914103,حجازی,colloquial,osm
ir-beheshti-9,خیابان قزوین,old,osm
ir-beheshti-9,قزوین,colloquial,osm
ir-w166960337,بلوار دشتبان زاده,colloquial,osm
ir-imam-hussain-square,سبزه میدان,old,osm
ir-imam-hussain-square,میدان شهرداری,colloquial,osm
ir-shahid-babaei-street,خیابان دانشگاه,old,osm
ir-w167596498,حجت الاسلام ابوترابی,colloquial,osm
ir-jamal-al-din-asad-abadi,دوازده متری ملک,colloquial,osm
ir-w167691216,سی و پنج متری,colloquial,osm
ir-w168057372,مرکز,old,osm
ir-w168057380,سلماس,colloquial,osm
ir-w168057400,دانش,colloquial,osm
ir-w168057402,خیابان امام,old,osm
ir-w168549371,رجائی شهر,colloquial,osm
ir-beheshti-10,قزوین,colloquial,osm
ir-south-ayatollah-taleghani-blvd-2,بلوار کوروش,old,osm
ir-south-ayatollah-taleghani-blvd-2,بلوار آیت‌الله طالقانی جنوبی,spelling,osm
ir-west-gazal,غزال,colloquial,osm
ir-w168549493,شکری,spelling,osm
ir-w168549617,هفتم جواد آباد,colloquial,osm
ir-doctor-mosaddeq,پیروزی,colloquial,osm
ir-w168683534,رشتیان,colloquial,osm
ir-w168683540,حاجی‌آباد,colloquial,osm
ir-w169482652,خوش اخلاق,colloquial,osm
ir-w169482881,کتبی,colloquial,osm
ir-w169482981,بلوار شیراز,colloquial,osm
ir-w169483095,فیض,colloquial,osm
ir-mirbozorg-bridge,پل سوم,colloquial,osm
ir-w170571990,خیابان شهرداری,colloquial,osm
ir-17-shahrivar-square,فلکه آمل,colloquial,osm
ir-w170572062,بلوار حضرت معصومه(س),colloquial,osm
ir-sepah-street,شهید دکتر قاسمی,colloquial,osm
ir-13th-east-street,۱۳ شرقی,colloquial,osm
ir-w171533829,مجدم,colloquial,osm
ir-karun-square,میدان زندان,colloquial,osm
ir-w171534064,میدان شهید سردار محمدرضا علیخانی,colloquial,osm
ir-w171543278,یوسفی,colloquial,osm
ir-w173451027,خیابان شهید یزدی,colloquial,osm
ir-17-shahrivar-jadid,خیابان ١٧ شهریور جدید,spelling,osm
ir-shariati-e-jonubi,شهناز,old,osm
ir-qods-3,آناتول فرانس,old,osm
ir-sa-at-square-5,ساعات قاباغی,spelling,osm
ir-w174859232,چهارراه لاله,colloquial,osm
ir-17-shahrivar-jadid-2,خیابان ١٧ شهریور جدید,spelling,osm
ir-w175010988,میدان آموزش و پرورش,colloquial,osm
ir-w175073985,گاراژ پهلوان,colloquial,osm
ir-w175074080,بلوار زنده یاد علی پیرمرادی,colloquial,osm
ir-w175074095,بلوار تختی,colloquial,osm
ir-moghavemat-square,میدان مقاومت,colloquial,osm
ir-moghavemat-square,میدان شهید سپهبد حاج قاسم سلیمانی,colloquial,osm
ir-w175074129,میدان نور,colloquial,osm
ir-w175074141,هیراد خان,colloquial,osm
ir-w175074146,میدان گلستان,colloquial,osm
ir-ganji-square,میدان قدس,colloquial,osm
ir-w175162360,شهید رزقیان,colloquial,osm
ir-w175162371,شهید رزقیان,colloquial,osm
ir-w175162395,بلوار 29 بهمن,spelling,osm
ir-w175246143,علی آباد,colloquial,osm
ir-w175352662,بلوار شهید قاسم سلیمانی,colloquial,osm
ir-w175473863,۱۲ متری فرامرزی,colloquial,osm
ir-w175474131,جمهوری شمالی,colloquial,osm
ir-evaz-gerash-highway,بزرگراه اوز - گراش,spelling,osm
ir-sheikh-ahmad-ansari-boulevard,بلوار شیخ احمد انصاری,colloquial,osm
ir-w175598730,گاز,colloquial,osm
ir-w175668774,گلستان,colloquial,osm
ir-golkar-boulevard,بلوار وکیل,old,osm
ir-w175672630,گوموش قیه,colloquial,osm
ir-w175673904,خیابان حزب الله,colloquial,osm
ir-w175681019,چای کنار آزادی,colloquial,osm
ir-w175681028,چای کنار آزادی,colloquial,osm
ir-azadi-square-15,میدان شهیاد,old,osm
ir-azadi-square-15,میدان آزادی,spelling,osm
ir-jenah-highway,جناح,colloquial,osm
ir-sa-idi-highway,بزرگراه شهیاد,old,osm
ir-sa-idi-highway-2,بزرگراه شهیاد,old,osm
ir-ammar-3,دزاشیب,old,osm
ir-w175815528,نیایش,colloquial,osm
ir-valiasr-street-4,پهلوی,old,osm
ir-valiasr-street-4,ولیعصر,colloquial,osm
ir-major-general-pilot-martyr-mohammad-haji-overpass,پل شهید حاجی,colloquial,osm
ir-major-general-pilot-martyr-mohammad-haji-overpass-2,پل شهید حاجی,colloquial,osm
ir-mahmoud-ghandi-st,پالیزی,colloquial,osm
ir-w175875198,سهیل,old,osm
ir-ahmad-sartipi,ایمان,colloquial,osm
ir-w175898544,گلگشت,colloquial,osm
ir-w175898550,امین,colloquial,osm
ir-w176386320,شقایق,colloquial,osm
ir-cheraghi-expressway-4,جوانه,colloquial,osm
ir-w176391129,میدان دردشت,old,osm
ir-w176478151,علیزاده,colloquial,osm
ir-tehran-boulevard,دروازه تهران,colloquial,osm
ir-shahidan-rajaei,جهاد سازندگی,colloquial,osm
ir-shahidan-rajaei,هپکو,colloquial,osm
ir-shahidan-rajaei-hepco,جهاد سازندگی,colloquial,osm
ir-shahidan-rajaei-hepco,هپکو,colloquial,osm
ir-imam-ali-highway-15,کمربندی شمالی اراک,colloquial,osm
ir-w176646870,میدان طوس,colloquial,osm
ir-shazand-boulevard,بلوار خلیج فارس,colloquial,osm
ir-basij-square-16,میدان سردشت,colloquial,osm
ir-w176786547,بلوار شهید سلیمانی,colloquial,osm
ir-w176851170,بلوار غدیر,colloquial,osm
ir-w176873758,میدان حر,colloquial,osm
ir-sayyadan-2,بلوار صیادان,colloquial,osm
ir-sayyadan-2,برگ سبز,colloquial,osm
ir-w177150751,بلوار شهید صدوقی,colloquial,osm
ir-w177157119,آق تپه,colloquial,osm
ir-madani-boulevard,سامت,colloquial,osm
ir-yousefi-2,حکمت ۱۲,colloquial,osm
ir-ekbatan-street-2,اکباتان,colloquial,osm
ir-w177810125,راه انزاب,colloquial,osm
ir-w177810125,خیابان شهید مبارکی,colloquial,osm
ir-w177810129,خیابان مهر,colloquial,osm
ir-tohid-square-4,میدان کوروش,old,osm
ir-shahid-beheshti-square-4,میدان بهشت,colloquial,osm
ir-yadbud-square,میدان یادبود شهدای شیمیایی,colloquial,osm
ir-yadbud-square,میدان یادبود,colloquial,osm
ir-modares-square,میدان دانشگاه,old,osm
ir-modares-square,میدان آیت اله مدرس,colloquial,osm
ir-bahman-22-boulevard,بلوار مدرس,old,osm
ir-zakat-square,میدان کشاورز,old,osm
ir-sepah-square-6,میدان راهنمایی,colloquial,osm
ir-shohada-square-19,میدان مجسمه,old,osm
ir-north-ayatollah-kashani-boulevard,گلسرخی شمالی,old,osm
ir-takhti-boulevard,رضا شاه,old,osm
ir-20-metri-ghaem,نظامی گنجوی,old,osm
ir-w177908894,میدان زاگرس,old,osm
ir-abdul-hossein-kurdi-boulevard,بهار,old,osm
ir-al-ghadir-boulevard-3,بلوار شهرداری,colloquial,osm
ir-imamzadeh-abdullah-square,میدان امامزاده عبدالله,colloquial,osm
ir-w177909226,آیت الله گنبدی,colloquial,osm
ir-w177955465,کنارگذر فتح,colloquial,osm
ir-pire-morad-street,پیر مراد,colloquial,osm
ir-pire-morad-street,بلوار پیرمراد,spelling,osm
ir-shahid-haghshenas,بلوار سربازان گمنام,colloquial,osm
ir-w178143767,جانبازان,colloquial,osm
ir-w178329192,میدان احمدآباد,colloquial,osm
ir-taleghani-street-3,خیابان طالقانی,spelling,osm
ir-w178660909,بلوار آیت الله هاشمی رفسنجانی,old,osm
ir-w178664667,میدان کوهنورد,colloquial,osm
ir-w178702079,میدان علیمردان خان بختیاری,colloquial,osm
ir-w178702082,میدان بختیاری,colloquial,osm
ir-w178702086,جاده کولرشاپ/سرمسجد/ جی تایپ/چهاربیشه,colloquial,osm
ir-w178702089,بلوار نفتک,colloquial,osm
ir-w178702089,بلوار شهيد مرتضی حسین پور,colloquial,osm
ir-w178702091,بلوار نفتک,colloquial,osm
ir-w178702091,بلوار شهيد مرتضی حسین پور,colloquial,osm
ir-w178702110,میدان شهید بهنام محمدی,colloquial,osm
ir-entezami-street,سپند,colloquial,osm
ir-w178718587,کوشش,colloquial,osm
ir-danesh-street,خیابان دانش,spelling,osm
ir-w178827394,بیمه سوم,old,osm
ir-w179052261,جاده اندیمشک - پاعلم - پلدختر,colloquial,osm
ir-w179052314,۲۲ بهمن,colloquial,osm
ir-w179112416,بلوار سفیر امید,colloquial,osm
ir-enghelab-square-6,میدان انقلاب,colloquial,osm
ir-w179457196,جاده کشتارگاه,colloquial,osm
ir-w179544227,خیابان شهرک شهید سلطانی,colloquial,osm
ir-w179544248,میدان بسیج,colloquial,osm
ir-ataee-blvd-2,بلوار شهرداری,colloquial,osm
ir-genaveh-st,رضوان,old,osm
ir-valiasr-boulevard-6,بلوار ولیعصر,spelling,osm
ir-shohadaye-soffeh-expressway,بزرگراه شهدای صفه,colloquial,osm
ir-w180338310,بلوار سازمان آب,colloquial,osm
ir-w180338310,بلوار شهید مجتبی خدامی,colloquial,osm
ir-w180338641,جاده مال قائد,colloquial,osm
ir-w180375912,میدان دریاچه,colloquial,osm
ir-w180381189,کار آفرینی,colloquial,osm
ir-w180474644,بلوار شهید حسین فهمیده,colloquial,osm
ir-w180474815,معزالسلطان,old,osm
ir-qazvin-square,دروازه قزوین,old,osm
ir-w180517550,تختی ۴۳,colloquial,osm
ir-sotoodeh-boulevard,بلوار شهیدان ستوده,colloquial,osm
ir-alqadir-square,میدان الغدیر,colloquial,osm
ir-imam-hossein-square-11,فلکه فین,colloquial,osm
ir-mollamohsen-street,خیابان ملامحسن فیض کاشانی,colloquial,osm
ir-mohtasham-street,خیابان محتشم کاشانی,colloquial,osm
ir-rajaie-street,خیابان شهید رجایی,colloquial,osm
ir-yasrebi-street,خیابان راه آهن,colloquial,osm
ir-w180626194,بزرگراه شهید سهراب نوروزی,colloquial,osm
ir-e-jazi-square,میدان آصف,old,osm
ir-w181200694,میدان شهیدان ستونه,colloquial,osm
ir-w181200695,بلوارشهیدان عبدالله ومرتضی پوست کن,colloquial,osm
ir-w181200745,میدان بید بلند,colloquial,osm
ir-w181200803,میدان تختی,colloquial,osm
ir-w181200804,بلوار شهید غلامرضا مظفری,colloquial,osm
ir-w181200810,میدان زیدون,colloquial,osm
ir-w181200820,میدان لاله,colloquial,osm
ir-w181200825,میدان دانشگاه - میدان ساعت,colloquial,osm
ir-w181274361,میدان تامین اجتماعی,colloquial,osm
ir-w181274362,۶۰ متری,colloquial,osm
ir-w181306664,میدان چمنک,colloquial,osm
ir-w181306683,میدان شهید جنت شعار,colloquial,osm
ir-w181493991,میدان ساعت,colloquial,osm
ir-w181494001,شهروند,colloquial,osm
ir-w181750218,بابا علیشاه,old,osm
ir-w181772628,مصلی,colloquial,osm
ir-ayatollah-taleqani-boulevard-3,سی‌متری,colloquial,osm
ir-w182372882,قربانی,colloquial,osm
ir-w182460594,بلوار شهید چمران,colloquial,osm
ir-w182514169,سلمان فارسی 6,colloquial,osm
ir-w182515300,بلوار 60 متری,colloquial,osm
ir-w182572059,ساحلی غربی,colloquial,osm
ir-w182590072,کەمەربەنی هوار,colloquial,osm
ir-w182590073,کەمەربەنی هوار,colloquial,osm
ir-w182590076,آیت الله کاظمی,colloquial,osm
ir-shahid-beheshti-boulevard-11,بلوار طاق بستان,colloquial,osm
ir-taghbostan-blvd,بلوار طاق بستان,colloquial,osm
ir-w182603155,بلوار طاقبستان,colloquial,osm
ir-w182603155,بلوار طاق بستان,colloquial,osm
ir-w182603156,بلوار طاقبستان,colloquial,osm
ir-w182603156,بلوار طاق بستان,colloquial,osm
ir-rah-e-karbala-expressway,بزرگراه راه کربلا,spelling,osm
ir-imam-hossein-expressway,بزرگراه کمربندی,old,osm
ir-imam-hossein-expressway,بزرگراه امام حسین,spelling,osm
ir-w182618796,میدان تاجگذاری,old,osm
ir-w182618816,خیابان صابونی,colloquial,osm
ir-w182618840,میدان کوروش,old,osm
ir-w182618840,گاراژ,colloquial,osm
ir-w182618840,گاراج,colloquial,osm
ir-w182618877,بلوار طاق بستان,colloquial,osm
ir-w182670196,خیابان کسری,old,osm
ir-w182670199,میدان شاه,old,osm
ir-w182670201,خیابان فردوسی,old,osm
ir-w182670202,میدان ۲۸ مرداد,old,osm
ir-w182670202,میدان مصدق,colloquial,osm
ir-w182670203,خیابان شاه,old,osm
ir-w182670203,خیابان دبیر اعظم,colloquial,osm
ir-w182670203,خیابان مصدق,colloquial,osm
ir-w182670205,میدان ششم بهمن,old,osm
ir-w182670205,میدان شهرداری سابق,colloquial,osm
ir-w182670205,میدان انقلاب اسلامی,spelling,osm
ir-w182670206,خیابان سپه,old,osm
ir-imam-hossein-expressway-2,بزرگراه کمربندی,old,osm
ir-imam-hossein-expressway-2,بزرگراه امام حسین,spelling,osm
ir-imam-hossein-expressway-3,بزرگراه کمربندی,old,osm
ir-imam-hossein-expressway-3,بزرگراه امام حسین,spelling,osm
ir-imam-hossein-expressway-4,بزرگراه کمربندی,old,osm
ir-imam-hossein-expressway-4,بزرگراه امام حسین,spelling,osm
ir-imam-hossein-expressway-5,بزرگراه امام حسین,spelling,osm
ir-imam-hossein-expressway-6,بزرگراه امام حسین,spelling,osm
ir-w182682284,خیابان کوروش,old,osm
ir-w182682284,چهل متری سیروس,colloquial,osm
ir-w182682299,میدان سنجابی,colloquial,osm
ir-ashayer-boulevard-3,خیابان سنجابی,old,osm
ir-w182682376,سیده فاطمه,colloquial,osm
ir-afshar-toos-boulevard,خیابان کوهساری,colloquial,osm
ir-al-agha-boulevard,بلوار گذرنامه,old,osm
ir-w182696815,خیابان برق,old,osm
ir-w182696832,خیابان رشید یاسمی,old,osm
ir-w182696839,میدان وزیری,colloquial,osm
ir-w182696849,خیابان رشید یاسمی,old,osm
ir-w182696849,خیابان رشیدی,colloquial,osm
ir-w182696934,میدان آقا شیخ هادی,colloquial,osm
ir-w182696936,میدان شهناز,old,osm
ir-w182696937,خیابان شهناز,old,osm
ir-w182696937,خیابان برزه دماغ,colloquial,osm
ir-w182696937,برزه دماغ,spelling,osm
ir-w182696940,خیابان باریکه,old,osm
ir-w182701791,میدان سپاهیان انقلاب,old,osm
ir-w182701791,میدان جوانشیر,colloquial,osm
ir-w182701810,خیابان شیروخورشید,old,osm
ir-w182701810,خیابان شهید مدنی,colloquial,osm
ir-rafatieh-square-dr-fatemieh-square,میدان فاطمیه,old,osm
ir-rafatieh-square-dr-fatemieh-square,میدان فاطمی,colloquial,osm
ir-rafatieh-square-dr-fatemieh-square,میدان رفعتیه,colloquial,osm
ir-w182701812,خیابان فرح,old,osm
ir-w182701814,خیابان ذوالریاستین,old,osm
ir-w182701816,پرورشگاه,old,osm
ir-w182701816,یداللهی,colloquial,osm
ir-w182701821,بلوار جام جم,colloquial,osm
ir-ayatollah-saeedi-street,خیابان نطنز,colloquial,osm
ir-golha-square,مردوخ,colloquial,osm
ir-w182933483,میدان لشکر,colloquial,osm
ir-chamran-boulevard-10,بلوار چمران,colloquial,osm
ir-chamran-boulevard-11,بلوار چمران,colloquial,osm
ir-w182933491,میدان غفور,colloquial,osm
ir-shebli-blvd,خسرو آباد,colloquial,osm
ir-keshavarz-street,خیابان وکیل,colloquial,osm
ir-emam-khomeyni-street-2,شاپور,old,osm
ir-cyrus-enghelab,سیروس,colloquial,osm
ir-w182933615,میدان فیض آباد,colloquial,osm
ir-salah-aldin-ayoubi-street,ولیعهد,colloquial,osm
ir-haj-ali-asghar-bridge,پل حاجی,colloquial,osm
ir-w183060575,رسالت,colloquial,osm
ir-meraj-square-2,میدان هفتون,colloquial,osm
ir-zarrin-koob-street,نسیم,colloquial,osm
ir-zarrin-koob-street-2,نسیم,colloquial,osm
ir-fahmideh,پل سرهنگ,colloquial,osm
ir-hakim-street,مسجد حکیم,colloquial,osm
ir-arsanjan-saadat-shahr,ارسنجان - سعادت شهر,colloquial,osm
ir-western-sheikh-tousi-street-2,۲۴ متری,colloquial,osm
ir-modarres-street-5,مدرس قدیم,colloquial,osm
ir-w183502561,کشاورز,colloquial,osm
ir-w183502589,میدان شهدای ورزشکار,colloquial,osm
ir-w183580935,فلکه جوان,colloquial,osm
ir-w183641751,پل شهید قربانعلی عرب,colloquial,osm
ir-mirzataher-street,سه پله,colloquial,osm
ir-mirzataher,زیتون,colloquial,osm
ir-mirzataher-street-2,سه پله,colloquial,osm
ir-w184197245,پریشن,colloquial,osm
ir-south-farvardin-boulevard,بلوار فروردین جنوبی,colloquial,osm
ir-w184492585,میدان شهدای خدمت,colloquial,osm
ir-pasdaran-12,سلطنت آباد,old,osm
ir-pasdaran-12,Pasdaran Avenue,colloquial,osm
ir-vossoughi-square,میدان وثوقی,spelling,osm
ir-martyr-bakeri-st,خیابان شهید باکری,colloquial,osm
ir-w186750992,میدان فرهنگیان,colloquial,osm
ir-w188138739,بلوار نماز,colloquial,osm
ir-w189056939,فلکه بانک ملی,colloquial,osm
ir-w189100675,میدان کوره خانه,colloquial,osm
ir-w189100678,میدان معلم,colloquial,osm
ir-w189100735,میدان گاز,colloquial,osm
ir-maheri-st,خیابان تپلی باغ,old,osm
ir-w189112749,آیت الله مدرس,colloquial,osm
ir-w189112754,آیت الله مجتهد حائری,colloquial,osm
ir-w189112762,شهید ایت اله طالقانی,colloquial,osm
ir-w189116776,شانزده متری غربی,colloquial,osm
ir-w189127206,بلوار امیرکبیر,colloquial,osm
ir-martyr-teymuri-st,بلوار شهید تیموری,colloquial,osm
ir-w190005839,بلوار سعدی,old,osm
ir-w190005839,بلوار شهید قاسم سلیمانی,colloquial,osm
ir-w191059908,بلوار فاتح,colloquial,osm
ir-w191352069,حجاب ۵۸,old,osm
ir-w191352081,حجاب ۷۵,old,osm
ir-w191352085,حجاب ۸۵,old,osm
ir-vaezi-street,اسدی,old,osm
ir-shahid-modarres-expressway-2,بزرگراه شاهنشاهی,old,osm
ir-shahid-modarres-expressway-3,بزرگراه شاهنشاهی,old,osm
ir-w191674093,دستور,old,osm
ir-w191674093,علی محمدی,colloquial,osm
ir-w191674093,نظامی,colloquial,osm
ir-shahid-ejarehdar,خواجه نظام الملک,old,osm
ir-mirza-reza-kermani,ژاله,old,osm
ir-mirza-reza-kermani,بسیج,colloquial,osm
ir-w191941911,شهید علی رنجبر,colloquial,osm
ir-w191973898,خیابان ینگه‌قلعه,colloquial,osm
ir-w192147960,میدان دادگستری,colloquial,osm
ir-w192147982,میدان دادگستری,colloquial,osm
ir-w192147984,میدان دادگستری,colloquial,osm
ir-w192148007,میدان دادگستری,colloquial,osm
ir-w192584631,کنارگذر فتح,colloquial,osm
ir-imamzade-hasan,امین الملک,colloquial,osm
ir-sa-idi-highway-3,بزرگراه آیت الله سعیدی,spelling,osm
ir-saeed-baghdarnia-st-2,رشید,colloquial,osm
ir-saeed-baghdarnia-st-2,۱۱۵,colloquial,osm
ir-w193452528,۲۱۲ غربی,colloquial,osm
ir-shahed-boulevard-10,بلوار پروین,old,osm
ir-w193832488,۲۱۲ شرقی,colloquial,osm
ir-mansour-zohdi-st,خاک سفید,old,osm
ir-mansour-zohdi-st,امین,colloquial,osm
ir-martyr-garmabdarri-st-2,احسان,old,osm
ir-khansari,بابا رکن الدین,colloquial,osm
ir-w194380936,دکتر جلالی,colloquial,osm
ir-6th-bridge,پل ششم,colloquial,osm
ir-south-molasadra,جابر,colloquial,osm
ir-w194675996,میدان نگهبانی,old,osm
ir-w194675996,میدان شهدای قانا,colloquial,osm
ir-emam-reza-64,امام رضا ۶۴,colloquial,osm
ir-mostofi-st-2,بصیر,old,osm
ir-rezaei,مسیل جاجرود,old,osm
ir-w195983012,میثم البرز,colloquial,osm
ir-emam-ali-boulevard-2,زیرگذر امام علی,colloquial,osm
ir-w196173758,کبودوال,colloquial,osm
ir-w196173878,سی متری شمالی,colloquial,osm
ir-w196173881,هنرستان,old,osm
ir-w196173899,صبا۵,colloquial,osm
ir-w196173927,۳۰ صبا,colloquial,osm
ir-andishe-5-9th-day-2,حافظ ۲۱,colloquial,osm
ir-w196217041,پل کابلی,old,osm
ir-w196217058,پل کابلی,old,osm
ir-w196503349,آخر طالقانی,colloquial,osm
ir-niyayesh-expressway,بزرگراه نیایش(روگذر آخر مارالان),old,osm
ir-sardar-soleimani-expressway-3,بزرگراه نیایش,old,osm
ir-w196574004,بلوار استقلال,colloquial,osm
ir-w196794924,میدان استادیوم,colloquial,osm
ir-w196794929,میدان شهید شریف,colloquial,osm
ir-shohada-grouh-abuzar-square,میدان بار,colloquial,osm
ir-sayyid-al-shohada-square,میدان شهید حیدری,colloquial,osm
ir-w197187752,شهید یاسینی,colloquial,osm
ir-w197187754,بلوار فرودگاه - بلوار شهید عارف کایدخورده,colloquial,osm
ir-w197187765,میدان ظفر,colloquial,osm
ir-w197187776,پل جهان آرا,colloquial,osm
ir-w197187784,میدان اردیبهشت,colloquial,osm
ir-east-beryanak-boulevard,بلوار بریانک شرقی,spelling,osm
ir-w197806779,کمربندی,colloquial,osm
ir-aliakbar-2,حضرت علی اکبر,colloquial,osm
ir-w197851193,فدائیان اسلام,old,osm
ir-movahhed-street,کشاورزی,old,osm
ir-w197957506,اتوبان زرین شهر-اصفهان,colloquial,osm
ir-w197970308,زیرگذر گلستان شهدا,colloquial,osm
ir-sepah-square-9,میدان عشرت آباد,old,osm
ir-boroujerdi-street,شهرزاد,old,osm
ir-boroujerdi-street,بروجردی,colloquial,osm
ir-w198810505,Movahedi,colloquial,osm
ir-w198948347,کمربندی,colloquial,osm
ir-w198953507,۴۵ متری,colloquial,osm
ir-amir-kabir-4,هشتصد دستگاه,colloquial,osm
ir-farmandari-square-2,میدان فرمانداری,colloquial,osm
ir-shohada-11,۶۰ متری,colloquial,osm
ir-hashemi-rafsanjani-boulevard,شهید سلیمانی,colloquial,osm
ir-hashemi-rafsanjani-boulevard-2,شهید سلیمانی,colloquial,osm
ir-motahari-avenue,کمربندی عیش آباد,colloquial,osm
ir-taleghani-avenue,کمربندی مهداب,colloquial,osm
ir-w199113053,خیابان شیخ ها,colloquial,osm
ir-valiasr-street-5,کمربندی دشتو,colloquial,osm
ir-azadi-square-19,فلکه گل,colloquial,osm
ir-w199131499,میدان زندان,colloquial,osm
ir-w199131514,میدان هه لو,colloquial,osm
ir-allah-o-akbar-blvd,کوثر,colloquial,osm
ir-azadi-boulevard-11,کمربندی,colloquial,osm
ir-azerbaijan,کمربندی,colloquial,osm
ir-w199212613,سیلو,colloquial,osm
ir-imam-ali-boulevard-2,بلوار خرم رودی,colloquial,osm
ir-w199496192,میدان چالیمار,colloquial,osm
ir-azadi-squre,میدان آزادی,colloquial,osm
ir-persian-gulf-highway-3,بزرگراه خلیج فارس,colloquial,osm
ir-persian-gulf-highway-3,کمربندی جنوبی,colloquial,osm
ir-nikoo-amal-blvd,اردیبهشت,colloquial,osm
ir-nikoo-amal-blvd,بلوار شهید نیکو عمل,spelling,osm
ir-nikoo-amal-blvd,افسریه چهارم,colloquial,osm
ir-w199732265,میدان گلستان,colloquial,osm
ir-mother-square-6,میدان دا,colloquial,osm
ir-ziba-kenar,شهید اسماعیل غلامی یاراحمدی,colloquial,osm
ir-w199893165,فلکه عنکبوت,colloquial,osm
ir-w199910423,علی ایمانی نصب,colloquial,osm
ir-w200069959,بزرگراه جهرم - شیراز,colloquial,osm
ir-w200069961,انقلاب,colloquial,osm
ir-w200069962,علامه خفری,colloquial,osm
ir-w200069963,علامه خفری,colloquial,osm
ir-w200076344,میدان شهید فسایی,colloquial,osm
ir-kargar-street-6,کمربندی,colloquial,osm
ir-w200197587,شهرزاد شمالی,colloquial,osm
ir-w200341899,آزادی,colloquial,osm
ir-w200341912,فلکه شهرداری,colloquial,osm
ir-piranshahr-2,آزادی,colloquial,osm
ir-w200341978,بلوار بسیج,old,osm
ir-hadi-saie-square,میدان شهرداری,colloquial,osm
ir-w200444334,بلوار آرامگاه,spelling,osm
ir-w200444335,بلوار آرامگاه,spelling,osm
ir-fadaeiyan-eslam-9,رزم آرا,old,osm
ir-fadaeiyan-eslam-9,فدائیان اسلام,colloquial,osm
ir-w200454247,عروجی,colloquial,osm
ir-w200454249,عروجی,colloquial,osm
ir-w200481922,خیابان سی متری,colloquial,osm
ir-shahid-motevaselian-expressway,جاده قدیم کرج,old,osm
ir-shahid-motevaselian-expressway,بزرگراه فتح,colloquial,osm
ir-bolvar-e-hefdah-e-shahrivar-2,بلوار هفده شهریور,colloquial,osm
ir-w200490827,کنارگذر فتح,colloquial,osm
ir-shahid-motevaselian-expressway-2,جاده قدیم کرج,old,osm
ir-shahid-motevaselian-expressway-2,بزرگراه فتح,colloquial,osm
ir-shahid-motevaselian-expressway-3,جاده قدیم کرج,old,osm
ir-shahid-motevaselian-expressway-3,بزرگراه فتح,colloquial,osm
ir-w200523181,بلوار استقلال,colloquial,osm
ir-w200523186,کارگر,colloquial,osm
ir-helal-ahmar-2,شیر و خورشید,old,osm
ir-w200606259,شیروخورشید,old,osm
ir-bathaie,مغان,colloquial,osm
ir-w200828779,بلوار توحید شرقی,colloquial,osm
ir-w200856655,بلوار طالقانی,colloquial,osm
ir-w200911135,میدان کمال آباد,colloquial,osm
ir-khayyam-st,خیابان خیام,spelling,osm
ir-w200926445,بلوار امام رضا,colloquial,osm
ir-major-general-martyr-hossein-khalatbari-sq,میدان شهید خلعتبری,colloquial,osm
ir-w200944638,هشت متری,colloquial,osm
ir-w201120025,بلوار دادگستری,colloquial,osm
ir-w201198310,میدان سیدالشهدا,colloquial,osm
ir-w201198331,جاده شوراب,colloquial,osm
ir-keshavarz-square,میدان قمسال,colloquial,osm
ir-moallem-square-12,میدان معلم,colloquial,osm
ir-w201237817,اندیشه,colloquial,osm
ir-w201252717,خیابان عطار,colloquial,osm
ir-w201252726,کارگر,colloquial,osm
ir-w201252753,نصر,colloquial,osm
ir-qolami,قنات,old,osm
ir-w201346757,بلوار شهید قاسم سلیمانی,colloquial,osm
ir-w201419407,بلادشاپور,colloquial,osm
ir-w201419416,کمربندی صدا سیما,old,osm
ir-w201419416,بلوار سردار سلیمانی,colloquial,osm
ir-dah-metri-avval,۱۰ متری,colloquial,osm
ir-w202256451,فرهنگ,colloquial,osm
ir-w202285724,۲۴ متری گلباد,colloquial,osm
ir-w202286320,میدان امام خمینی,colloquial,osm
ir-golkar-boulevard-2,بلوار وکیل,old,osm
ir-7th-tir-boulevard-4,آبرسانی,colloquial,osm
ir-7th-tir-boulevard-5,آبرسانی,colloquial,osm
ir-basij-square-23,فلکه چه کنم,colloquial,osm
ir-mollasadra-boulevared,بلوار ملاصدرا,old,osm
ir-mollasadra-boulevared,کمربندی,colloquial,osm
ir-persian-gulf-boulevard-5,کمربندی,colloquial,osm
ir-w202529163,بلوار حاج تفضلی,colloquial,osm
ir-w202596471,۱۶ متری اول,colloquial,osm
ir-w202596477,شهیدان موسوی,colloquial,osm
ir-w202596480,میدان آذربایجان,colloquial,osm
ir-w202627918,Baharestan,spelling,osm
ir-w202627921,Sarhadi,spelling,osm
ir-w202628810,Asef,spelling,osm
ir-w202628813,Shariati,spelling,osm
ir-w202628815,Shahid Rajaee,spelling,osm
