id,name,name_en,code,kind,parent_id/id,in_path,latitude,longitude,source
place_w72041602,یادگار امام,Yadegar-e Emam Expressway,ir-yadegar-e-emam-expressway-8,street,place_r8321827,True,35.792075,51.390247,osm:w72041602
place_w72041604,حسین سهیلی قهرودی,Soheyli Qahroudi,ir-soheyli-qahroudi,street,place_r8321692,True,35.740542,51.326327,osm:w72041604
place_w72041611,شهدای شرکت برق,,ir-w72041611,street,place_r20189544,True,35.790984,51.374935,osm:w72041611
place_w72041621,پل سرلشکر خلبان شهید غلامحسین افشین آذر,Major general pilot Martyr Gholamhossein Afshin Azar Overpass,ir-major-general-pilot-martyr-gholamhossein-afshin-azar-overpass,street,place_r8321827,True,35.789824,51.375182,osm:w72041621
place_w72041631,علامه جعفری,Allame Jafari Expressway,ir-allame-jafari-expressway-3,street,place_r8321704,True,35.733509,51.286484,osm:w72041631
place_w72041640,علامه جعفری,Allame Jafari Expressway,ir-allame-jafari-expressway-4,street,place_r8321708,True,35.733214,51.29529,osm:w72041640
place_w72041643,شقایق مرکزی,Shaqayeq Middle,ir-shaqayeq-middle,street,place_r8321708,True,35.731989,51.305019,osm:w72041643
place_w721150784,عراقی,,ir-w721150784,street,place_r8321849,True,35.757063,51.462322,osm:w721150784
place_w722350128,فریدون محمدی,,ir-w722350128,street,place_r8321597,True,35.637275,51.499522,osm:w722350128
place_w722669324,دهم,,ir-w722669324,street,place_r8321781,True,35.700634,51.243034,osm:w722669324
place_w723949359,کنارگذر نواب صفوی,,ir-w723949359,street,place_r8321648,True,35.670305,51.381312,osm:w723949359
place_w724030638,مدائن,Mada'en,ir-mada-en,street,place_r8321726,True,35.662699,51.309552,osm:w724030638
place_w724414189,بولوار کشاورز,Keshavarz Blvd,ir-keshavarz-blvd-2,street,place_r8792427,True,36.355763,59.566999,osm:w724414189
place_w72508540,رشت,,ir-w72508540,street,place_r8321721,True,35.69984,51.331619,osm:w72508540
place_w72509133,صنایع هوایی,,ir-w72509133,street,place_r8321778,True,35.69726,51.307546,osm:w72509133
place_w72509141,صنایع هواپیمایی,,ir-w72509141,street,place_r8321778,True,35.698482,51.303465,osm:w72509141
place_w72509143,صنایع هواپیمایی,Sanaye Havapeymayi Street,ir-sanaye-havapeymayi-street,street,place_r8321722,True,35.703234,51.303818,osm:w72509143
place_w72509348,لشگری,Lashgari Expressway,ir-lashgari-expressway-2,street,place_r8321781,True,35.707953,51.252191,osm:w72509348
place_w72509350,لشگری,Lashgari Expressway,ir-lashgari-expressway-3,street,place_r9167405,True,35.707708,51.252997,osm:w72509350
place_w72509352,چوگان,Chougan Blvd.,ir-chougan-blvd,street,place_r17147384,True,35.712979,51.266061,osm:w72509352
place_w72509353,چوگان,Chougan Blvd.,ir-chougan-blvd-2,street,place_r8321767,True,35.71405,51.266402,osm:w72509353
place_w72509554,کنارگذر لشگری,,ir-w72509554,street,place_r8321781,True,35.708842,51.248411,osm:w72509554
place_w72509808,شیشه مینا,Shishe Mina Boulevard,ir-shishe-mina-boulevard,street,place_r8321720,True,35.712322,51.286299,osm:w72509808
place_w72509857,کنارگذر لشگری,,ir-w72509857,street,place_r9167406,True,35.706543,51.258196,osm:w72509857
place_w72514521,آیت الله مهدوی کنی,Ayatollah Mahdavi Kani Expressway,ir-ayatollah-mahdavi-kani-expressway-2,street,place_r9167405,True,35.705693,51.252326,osm:w72514521
place_w72518303,گزل خو (توکلی),Gozal Khu Street,ir-gozal-khu-street,street,place_r8321717,True,35.671967,51.329516,osm:w72518303
place_w72518745,دانشگاه هوایی شمالی,Daneshgah-e Havaei,ir-daneshgah-e-havaei,street,place_r8321652,True,35.67689,51.33641,osm:w72518745
place_w72526717,محمدزاده,Osveh,ir-osveh,street,place_r8321725,True,35.672557,51.303493,osm:w72526717
place_w72526762,برادران شوندی,,ir-w72526762,street,place_r8321725,True,35.671878,51.30576,osm:w72526762
place_w72526763,اسوه,,ir-w72526763,street,place_r8321725,True,35.671,51.305828,osm:w72526763
place_w72657897,میقات,Mighat,ir-mighat,street,place_r9167418,True,35.661306,51.304614,osm:w72657897
place_w72657903,پانزده متری دوم جنوبی,Dovvom,ir-dovvom,street,place_r8321725,True,35.663062,51.300117,osm:w72657903
place_w72657988,آقاجانی,,ir-w72657988,street,place_r8321725,True,35.671111,51.303063,osm:w72657988
place_w72660112,شهید قاسم باقری,,ir-w72660112,street,place_r8321724,True,35.643114,51.302922,osm:w72660112
place_w72729683,کرامت ۷,,ir-w72729683,street,place_r8815017,True,36.290404,59.670223,osm:w72729683
place_w72729688,بولوار کرامت,,ir-w72729688,street,place_r8815021,True,36.284888,59.666777,osm:w72729688
place_w72729694,بولوار کرامت,,ir-w72729694,street,place_r8815017,True,36.289139,59.670949,osm:w72729694
place_w728295397,شهید عربخواری,Arabkhari,ir-arabkhari-2,street,place_r8321614,True,35.572385,51.469105,osm:w728295397
place_w728295399,علم و فرهنگ,,ir-w728295399,street,place_r8321614,True,35.572081,51.469224,osm:w728295399
place_w728295401,عربخواری,Arabkhari,ir-arabkhari-3,street,place_r8321614,True,35.572128,51.469089,osm:w728295401
place_w72866929,باستان,,ir-w72866929,street,place_r8321663,True,35.695895,51.383494,osm:w72866929
place_w72867354,کاشان,,ir-w72867354,street,place_r8321743,True,35.684076,51.382759,osm:w72867354
place_w72867611,اعلمی اشتهاردی,Kamali,ir-kamali-3,street,place_r8321743,True,35.681131,51.390113,osm:w72867611
place_w72879993,ادوارد براون,Edward Browne,ir-edward-browne,street,place_r8321670,True,35.702837,51.391031,osm:w72879993
place_w729783641,رئوف,Raouf,ir-raouf,street,place_r11009423,True,36.319864,59.598647,osm:w729783641
place_w729785969,شفیعی ۷ - شهید آرمون,,ir-w729785969,street,place_r8815017,True,36.29447,59.666394,osm:w729785969
place_w729832777,نرگس - شریعتی ۷۰,,ir-w729832777,street,place_r8833768,True,36.35114,59.48242,osm:w729832777
place_w73037702,برادران مظفر,,ir-w73037702,street,place_r8321667,True,35.699222,51.403703,osm:w73037702
place_w73038875,دوازدهم فروردین,,ir-w73038875,street,place_r8321736,True,35.689659,51.394813,osm:w73038875
place_w730839940,چهل مقام,Chehel Maqam boulevard,ir-chehel-maqam-boulevard-2,street,place_r11043979,True,29.626999,52.560698,osm:w730839940
place_w732481297,پیروزی,Piruzi,ir-piruzi-4,street,place_r11038733,True,29.615672,52.542027,osm:w732481297
place_w732484400,هجرت,,ir-w732484400,street,place_r11022767,True,29.627375,52.550602,osm:w732484400
place_w732733509,حکیمی غربی,West Hakimi Street,ir-west-hakimi-street,street,place_r11042059,True,29.625318,52.518913,osm:w732733509
place_w732737326,قدمگاه شرقی,Qadamgah,ir-qadamgah,street,place_r11038739,True,29.608744,52.515039,osm:w732737326
place_w733806142,شهید علی شادمانی,Shahid Ali Shadmani Blvd.,ir-shahid-ali-shadmani-blvd-2,street,place_r8321875,True,35.745593,51.513223,osm:w733806142
place_w733806674,شفیعی مکرم,Shafiei Mokarram St.,ir-shafiei-mokarram-st,street,place_r8321881,True,35.738493,51.551136,osm:w733806674
place_w733806675,طالقانی,Taleqani St.,ir-taleqani-st,street,place_r8321881,True,35.737256,51.550858,osm:w733806675
place_w733806676,طالقانی,Taleqani St.,ir-taleqani-st-2,street,place_r9167439,True,35.736257,51.549131,osm:w733806676
place_w734118989,نوروزی,,ir-w734118989,street,place_r8321882,True,35.743278,51.562974,osm:w734118989
place_w734118992,منصور زهدی,Mansour Zohdi St.,ir-mansour-zohdi-st-2,street,place_r8321882,True,35.742927,51.565634,osm:w734118992
place_w734356474,واثقی,Vaseqi,ir-vaseqi-2,street,place_r9167439,True,35.744968,51.55574,osm:w734356474
place_w736791513,شوش غربی,West Shoosh,ir-west-shoosh,street,place_r8321602,True,35.659279,51.397346,osm:w736791513
place_w739484220,بولوار استاد فرشچیان- وکیل آباد ۸۳,,ir-w739484220,street,place_r8833839,True,36.340272,59.461931,osm:w739484220
place_w739745147,کمربند سبز,,ir-w739745147,street,place_r8833664,True,36.288128,59.48726,osm:w739745147
place_w739844030,ولیعصر,,ir-w739844030,street,place_r8833949,True,36.373963,59.475948,osm:w739844030
place_w740635035,کنار گذر پیروزی,,ir-w740635035,street,place_r8321786,True,35.692633,51.486784,osm:w740635035
