id,place_id/id,name,kind,source
alias_r9080270_191,place_r9080270,شهر درگهان,spelling,osm
alias_r17341184_192,place_r17341184,شهر اسدآباد,spelling,osm
alias_r17341123_193,place_r17341123,شهر قائن,spelling,osm
alias_r16733300_194,place_r16733300,شهر خرمدره,spelling,osm
alias_r16703148_195,place_r16703148,شهر بنک,spelling,osm
alias_r16702961_196,place_r16702961,شهر خورموج,spelling,osm
alias_r17351911_197,place_r17351911,شهر دورود,spelling,osm
alias_r16291013_198,place_r16291013,شهر قصر شیرین,spelling,osm
alias_r11285213_199,place_r11285213,شهر کنگاور,spelling,osm
alias_r8770252_200,place_r8770252,شهر رستم آباد,spelling,osm
alias_w1165365120_201,place_w1165365120,منطقه 1 شهرداری اردبیل,spelling,osm
alias_r13084236_202,place_r13084236,شهر مهاجران,spelling,osm
alias_r12241866_203,place_r12241866,شهر اسلام آباد غرب,spelling,osm
alias_w1165381320_204,place_w1165381320,منطقه 5 شهرداری اردبیل,spelling,osm
alias_r8693558_205,place_r8693558,شهر محمد شهر,spelling,osm
alias_r11143005_206,place_r11143005,شهر زرقان,spelling,osm
alias_r8814496_207,place_r8814496,شهر باغین,spelling,osm
alias_r8162762_208,place_r8162762,شهر بروجن,spelling,osm
alias_r8814438_209,place_r8814438,شهر جوپار,spelling,osm
alias_r15100601_210,place_r15100601,شهر مجلسی,spelling,osm
alias_r11803826_211,place_r11803826,شهر گناباد,spelling,osm
alias_r11532828_212,place_r11532828,شهر شاهین دژ,spelling,osm
alias_r15681852_213,place_r15681852,منطقه ۱ شهرداری ساری,spelling,osm
alias_r6729111_214,place_r6729111,منطقه ۱۱ شهر تهران,spelling,osm
alias_r17353421_215,place_r17353421,شهر ایذه,spelling,osm
alias_r12290848_216,place_r12290848,شهر نقده,spelling,osm
alias_r16699193_217,place_r16699193,شهر پارسیان,spelling,osm
alias_r6758470_218,place_r6758470,شهر لنگرود,spelling,osm
alias_r16464038_219,place_r16464038,شهر پارس آباد,spelling,osm
alias_r15681809_220,place_r15681809,منطقه ۲ شهرداری ساری,spelling,osm
alias_r8814068_221,place_r8814068,شهر اردستان,spelling,osm
alias_r9388169_222,place_r9388169,شهر اسکو,spelling,osm
alias_r16701590_223,place_r16701590,شهر جم,spelling,osm
alias_r6729035_224,place_r6729035,منطقه ۸ شهر تهران,spelling,osm
alias_r12130359_225,place_r12130359,شهر شبانکاره,spelling,osm
alias_r8816489_226,place_r8816489,شهر چترود,spelling,osm
alias_r8768515_227,place_r8768515,شهر آق قلا,spelling,osm
alias_r13201074_228,place_r13201074,شهر نهاوند,spelling,osm
alias_r15955463_229,place_r15955463,شهر فردوس,spelling,osm
alias_r9569113_230,place_r9569113,شهر قروه,spelling,osm
alias_r15436558_231,place_r15436558,شهر تاکستان,spelling,osm
alias_r17341501_232,place_r17341501,شهر‌ طبس,spelling,osm
alias_r11012479_233,place_r11012479,شهر شاندیز,spelling,osm
alias_r10460873_234,place_r10460873,شهر جاجرم,spelling,osm
alias_r12967093_235,place_r12967093,شهر کمالشهر,spelling,osm
alias_r9647903_236,place_r9647903,شهر شیروان,spelling,osm
alias_r6747153_237,place_r6747153,شهر لاهیجان,spelling,osm
alias_r11141838_238,place_r11141838,شهر فیروزآباد,spelling,osm
alias_r17341118_239,place_r17341118,شهر الیگودرز,spelling,osm
alias_r13045006_240,place_r13045006,شهر میلاجرد,spelling,osm
alias_r6729036_241,place_r6729036,منطقه ۷ شهر تهران,spelling,osm
alias_w825276476_242,place_w825276476,شهر لواسان,spelling,osm
alias_r8816488_243,place_r8816488,شهر کاظم آباد,spelling,osm
alias_r6729112_244,place_r6729112,منطقه ۱۲ شهر تهران,spelling,osm
alias_r8683170_245,place_r8683170,شهر الوند,spelling,osm
alias_r6729110_246,place_r6729110,منطقه ۱۶ شهر تهران,spelling,osm
alias_r11174419_247,place_r11174419,شهر گراش,spelling,osm
alias_r11173384_248,place_r11173384,شهر نورآباد,spelling,osm
alias_r9080271_249,place_r9080271,شهر قشم,spelling,osm
alias_r9647902_250,place_r9647902,شهر اسفراین,spelling,osm
alias_r6767955_251,place_r6767955,شهر گلپایگان,spelling,osm
alias_r13103318_252,place_r13103318,شهر سراوان,spelling,osm
alias_r8808870_253,place_r8808870,شهر بافت,spelling,osm
alias_r9387492_254,place_r9387492,شهر مرودشت,spelling,osm
alias_r9593889_255,place_r9593889,شهر رودان,spelling,osm
alias_r14055051_256,place_r14055051,شهر پیشوا,spelling,osm
alias_r9628076_257,place_r9628076,شهر بهشهر,spelling,osm
alias_r13016310_258,place_r13016310,شهر بانه,spelling,osm
alias_r8814511_259,place_r8814511,شهر زنگی آباد,spelling,osm
alias_r14354451_260,place_r14354451,شهر خاش,spelling,osm
alias_r12218529_261,place_r12218529,شهر تربت جام,spelling,osm
alias_w898064876_262,place_w898064876,شهر تربت جام,spelling,osm
alias_r16703147_263,place_r16703147,شهر بندر کنگان,spelling,osm
alias_r11226553_264,place_r11226553,شهر سقز,spelling,osm
alias_r11012474_265,place_r11012474,شهر قوچان,spelling,osm
alias_r16463801_266,place_r16463801,شهر ایرانشهر,spelling,osm
alias_r6729034_267,place_r6729034,منطقه ۱۳ شهر تهران,spelling,osm
alias_r16720415_268,place_r16720415,شهر ابهر,spelling,osm
alias_r11141893_269,place_r11141893,شهر داراب,spelling,osm
alias_r12967215_270,place_r12967215,منطقه ۲ شهرداری فردیس,spelling,osm
alias_r16464041_271,place_r16464041,شهر شوشتر,spelling,osm
alias_r11141892_272,place_r11141892,شهر نی‌ریز,spelling,osm
alias_r6729508_273,place_r6729508,منطقه ۹ شهر تهران,spelling,osm
alias_r14121460_274,place_r14121460,شهر آران و بیدگل,spelling,osm
alias_r12950613_275,place_r12950613,شهر مشگین شهر,spelling,osm
alias_r12002059_276,place_r12002059,شهر ملایر,spelling,osm
alias_r8816408_277,place_r8816408,شهر گلباف,spelling,osm
